Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
193,137962.0,141275.987888079,0.024021019469701737,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
194,137156.0,141336.48687875224,0.030479795843800072,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
195,134508.0,141253.19411864827,0.050147159415412264,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
196,132048.0,141063.87696186895,0.06827727009775957,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
197,129575.0,141015.86670869138,0.08829532478249182,Mês 25,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
198,130470.0,141070.46671219345,0.08124830775039049,Mês 26,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
199,131496.0,141113.5634752466,0.07313958960916377,Mês 27,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
200,133305.0,141144.59673552949,0.058809472529383636,Mês 28,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
201,132021.0,141153.19412617033,0.06917228415305393,Mês 29,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
202,133847.0,141157.95638236566,0.05462174260435919,Mês 30,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
203,133601.0,141161.44155538405,0.05658970782691785,Mês 31,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
204,131099.0,141162.07733791685,0.0767593752653861,Mês 32,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
